,Gershgorin,DeVille,Algorithm 2(k=1),Algorithm 2(k=2),eigenvalue,Gershgorin_time,DeVille_time,Algorithm 2(k=1)_time,Algorithm 2(k=2)_time,eigenvalue_time,diag_eps
0,-2463.682807030138,-2463.229180646413,1.9782511174644177,1.9782511174644177,2.9999999999995652,0.43506836891174316,6.037474870681763,10.909188270568848,10.999675035476685,35.28073501586914,3
1,-2468.334675682917,-2468.001091339845,1.9783760760843263,1.9783760760843263,2.9999999999996874,0.4515819549560547,6.038327932357788,11.332242012023926,10.995788812637329,35.336610078811646,3
2,-2459.103050877377,-2459.103050877377,1.9811404074578076,1.9811404074578076,2.9999999999997153,0.44089388847351074,4.336665868759155,10.804561853408813,11.059726238250732,35.47085499763489,3
3,-2465.7543807259735,-2465.353663732188,1.983783408023891,1.983783408023891,2.999999999999747,0.43648576736450195,6.03789210319519,11.272660970687866,10.953042030334473,35.311989068984985,3
4,-2472.6360095258087,-2472.2533541216735,1.9849900793031077,1.9849900793031077,2.999999999999657,0.36740708351135254,6.011477947235107,11.033868074417114,11.10183334350586,35.95163011550903,3
5,-2467.7543073756706,-2467.7543073756706,1.985348826542627,1.985348826542627,2.9999999999997726,0.49330878257751465,5.2447509765625,11.82939076423645,11.827128171920776,35.42384934425354,3
6,-2477.1020221688163,-2477.1020221688163,1.9897471719217774,1.9897471719217774,2.9999999999998463,0.2892029285430908,5.099936008453369,11.250136137008667,11.147384881973267,35.55634307861328,3
7,-2483.560323325501,-2483.3766020544613,1.9904310475628606,1.9904310475628606,2.99999999999951,0.43645167350769043,6.08623480796814,10.834297180175781,11.107225894927979,35.49998497962952,3
8,-2486.293970114562,-2486.1118861464465,1.9917156355100663,1.9917156355100663,2.9999999999999027,0.43718600273132324,6.042954921722412,11.242999792098999,11.378113985061646,35.32789087295532,3
9,-2502.754755022497,-2502.6765603874487,1.9917414593359934,1.9917414593359934,2.999999999999723,0.43854594230651855,6.048544883728027,11.295025110244751,11.030544996261597,35.535202980041504,3
10,-2491.7148116862663,-2491.7148116862663,1.9926699989028904,1.9926699989028904,2.9999999999995826,0.3939380645751953,4.3345420360565186,10.86483097076416,11.116916179656982,35.51704001426697,3
11,-2503.4347057116806,-2503.2191174941463,1.9928773711585808,1.9928773711585808,2.999999999999739,0.4433572292327881,6.070785760879517,11.17733907699585,10.915542840957642,35.537477016448975,3
12,-2494.3835156982186,-2494.169438175461,1.993434214648433,1.993434214648433,2.9999999999995435,0.4126143455505371,6.057374954223633,11.251635074615479,11.054047107696533,35.47513699531555,3
13,-2495.339523310051,-2495.339523310051,1.9951515254770764,1.9951515254770764,2.999999999999457,0.4352409839630127,5.104206085205078,11.367855072021484,11.409742832183838,35.49941825866699,3
14,-2495.001708617879,-2495.001708617879,1.9966536395613574,1.9966536395613574,2.999999999999716,0.1791849136352539,5.191179037094116,11.463672161102295,11.118185997009277,35.490675926208496,3
15,-2505.99436844236,-2505.4449088673273,1.9970824068831945,1.9970824068831945,2.9999999999997726,0.4403672218322754,6.024655103683472,11.220541000366211,11.395698070526123,35.1581597328186,3
16,-2520.86686958408,-2520.799165093347,1.9972804660255197,1.9972804660255197,2.999999999999906,0.4340229034423828,6.0285561084747314,11.23698115348816,11.407043933868408,35.23594284057617,3
17,-2509.157365770557,-2509.157365770557,1.997553854456374,1.997553854456374,2.9999999999998788,0.15616202354431152,4.892233848571777,11.118586778640747,11.32206106185913,35.368837118148804,3
18,-2498.8797895822545,-2498.8797895822545,1.998362300999506,1.998362300999506,2.999999999999516,0.44301319122314453,5.125154972076416,11.213398933410645,11.35627794265747,35.269203186035156,3
19,-2507.855536895767,-2507.80997546938,2.0001922390518634,2.0001922390518634,2.9999999999995306,0.3017730712890625,6.05877685546875,11.08791208267212,11.452991008758545,35.26595401763916,3
20,-2465.5476650158425,-2465.5002726726784,0.974899208790216,0.974899208790216,1.99999999999971,0.4266321659088135,6.055377960205078,11.013024091720581,10.917141199111938,35.181687116622925,2
21,-2475.5753319624923,-2475.424116565,0.9750570836665058,0.9750570836665058,1.9999999999995541,0.4383389949798584,6.052331924438477,10.896065950393677,11.087239980697632,34.94773817062378,2
22,-2462.5866995737265,-2462.5866995737265,0.9788601839522038,0.9788601839522038,1.9999999999994251,0.4341108798980713,5.094327926635742,11.256827116012573,11.37921929359436,35.234336614608765,2
