,Gershgorin,DeVille,Algorithm 2(k=1),Algorithm 2(k=2),eigenvalue,Gershgorin_time,DeVille_time,Algorithm 2(k=1)_time,Algorithm 2(k=2)_time,eigenvalue_time,n
0,-133817.5116273194,-133815.00890542465,-133488.94482611804,-133293.03656190744,0.9999999999872687,0.7925970554351807,24.101423978805542,49.47130298614502,98.53762722015381,252.80431008338928,10000
1,-133732.78870258972,-133732.75184469073,-133124.2819853402,-132889.15434385525,0.9999999999870318,0.3947780132293701,20.657793045043945,39.44773292541504,80.01223707199097,185.52258014678955,9000
2,-117033.41698421616,-117031.17276497802,-116377.48143509058,-116337.73985769915,0.9999999999869416,0.7067959308624268,12.797379970550537,29.87559700012207,58.78116202354431,128.7093961238861,8000
3,-120979.34643073096,-120949.3775155759,-120785.23101492687,-120673.58542655988,0.9999999999881488,0.42448902130126953,11.820842981338501,22.02183699607849,44.701244831085205,96.72751593589783,7000
4,-125463.11598438198,-125457.57469584962,-124626.40419162308,-124626.40419162241,0.9999999999961072,0.5222220420837402,8.617466926574707,16.777229070663452,32.69683289527893,70.37979626655579,6000
5,-94941.222116515,-94928.22305079519,-94916.0922005686,-94753.28094985016,0.9999999999974131,0.43958091735839844,5.043926000595093,11.47135615348816,23.31809902191162,40.7467200756073,5000
6,-57461.25321240057,-57461.25321240057,-57167.44545400615,-57162.3308761371,0.999999999995393,0.018860816955566406,3.0021021366119385,7.129735946655273,14.146141767501831,18.78046202659607,4000
7,-15055.054333346146,-15055.054333346146,-14892.10535905952,-14888.539608371582,0.9999999999987068,0.012820243835449219,1.7621700763702393,4.081529855728149,8.037415266036987,6.3298749923706055,3000
8,-17934.35498976536,-17933.279384622838,-17874.633838960013,-17852.843971093236,0.9999999999982335,0.00757288932800293,0.7608890533447266,1.78969407081604,3.5669009685516357,1.98482084274292,2000
9,-3126.8381929304323,-3126.8381929304323,-3034.3617807676587,-3012.5551752664032,0.999999999999832,0.0030541419982910156,0.18770790100097656,0.4555661678314209,0.9178521633148193,0.2966117858886719,1000
