,Gershgorin,DeVille,Algorithm 2(k=1),Algorithm 2(k=2),eigenvalue,Gershgorin_time,DeVille_time,Algorithm 2(k=1)_time,Algorithm 2(k=2)_time,eigenvalue_time,eps
0,-5.3732540124205865,-5.3732540124205865,-3.9492473077012016,-3.944135894714786,1.0,2.8133392333984375e-05,8.106231689453125e-05,0.00014400482177734375,0.00025725364685058594,4.696846008300781e-05,1.0
1,-3.9837271173122937,-3.859199642559707,-3.745105680987648,-3.544115546080556,0.9999999999999993,2.8133392333984375e-05,0.00013184547424316406,0.00014209747314453125,0.0002541542053222656,5.1975250244140625e-05,1.0
2,-5.682205776771971,-5.682205776771971,-3.2395695441028742,-3.1399597146950406,0.9999999999999996,2.6702880859375e-05,8.034706115722656e-05,0.0001468658447265625,0.00026798248291015625,5.1021575927734375e-05,1.0
3,-6.087030195746539,-6.087030195746539,-3.196280325957858,-3.0933043784685568,0.9999999999999993,3.719329833984375e-05,8.7738037109375e-05,0.00014901161193847656,0.0002613067626953125,5.1975250244140625e-05,1.0
4,-4.379649015796677,-4.278426369328228,-3.138479721617994,-3.079625397027578,0.9999999999999998,2.6702880859375e-05,0.00013327598571777344,0.00014901161193847656,0.0002727508544921875,5.030632019042969e-05,1.0
5,-6.106329245700126,-4.932558764547045,-3.0276233282727665,-3.0276233282727665,0.9999999999999998,2.7179718017578125e-05,0.00012969970703125,0.0001442432403564453,0.0002598762512207031,5.3882598876953125e-05,1.0
6,-6.96430071292464,-6.96430071292464,-3.1353638366364853,-2.999048760193067,1.0000000000000022,2.8133392333984375e-05,7.987022399902344e-05,0.00014019012451171875,0.00024700164794921875,5.507469177246094e-05,1.0
7,-4.091813095709916,-3.474726026255815,-3.709682807447235,-2.839215628994942,0.9999999999999994,2.8133392333984375e-05,0.00013184547424316406,0.0001399517059326172,0.0002532005310058594,5.2928924560546875e-05,1.0
8,-6.317227517891283,-6.317227517891283,-4.761645917861503,-2.8059448127500195,0.9999999999999996,2.6941299438476562e-05,8.177757263183594e-05,0.00014519691467285156,0.0002579689025878906,5.316734313964844e-05,1.0
9,-4.776178252467449,-4.776178252467449,-3.146005113823483,-2.7736257925632053,0.9999999999999994,2.7894973754882812e-05,8.0108642578125e-05,0.00014591217041015625,0.0002689361572265625,5.0067901611328125e-05,1.0
10,-5.548133964598042,-4.992264677470767,-2.9254208584531702,-2.75974362744809,0.9999999999999997,2.7894973754882812e-05,0.00012993812561035156,0.00015997886657714844,0.0002560615539550781,5.1021575927734375e-05,1.0
11,-4.442259090423975,-4.442259090423975,-3.206506006599044,-2.7302417173260363,0.9999999999999996,2.6941299438476562e-05,8.106231689453125e-05,0.00015687942504882812,0.00026297569274902344,5.173683166503906e-05,1.0
12,-6.023935999154614,-6.023935999154614,-2.917948306589044,-2.693582481031944,1.0043816899611597,3.600120544433594e-05,7.987022399902344e-05,0.0001461505889892578,0.00025200843811035156,5.793571472167969e-05,1.0
13,-4.068872999246926,-3.924983238386483,-2.9651486146664174,-2.6902080726870747,0.9999999999999999,2.8133392333984375e-05,0.00013184547424316406,0.00015997886657714844,0.00026106834411621094,5.698204040527344e-05,1.0
14,-5.211500899284365,-5.211500899284365,-3.5367370525514508,-2.600618334950833,0.9999999999999997,3.1948089599609375e-05,8.106231689453125e-05,0.00014781951904296875,0.0002639293670654297,6.389617919921875e-05,1.0
15,-5.434714349627891,-5.434714349627891,-3.5732081590309335,-2.548148383397505,1.0182630790272766,3.504753112792969e-05,8.082389831542969e-05,0.00014710426330566406,0.0002601146697998047,5.3882598876953125e-05,1.0
